range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.04,+,38,0.8824774882395103,0.835742175579071
"[1, 0.14, 0.14, 0.1]",0.04,+,39,0.882885295062654,0.8379882574081421
"[1, 0.14, 0.14, 0.1]",0.04,+,40,0.8832807441032781,0.846875011920929
"[1, 0.14, 0.14, 0.1]",0.04,+,41,0.8837215050131404,0.8472656011581421
"[1, 0.14, 0.14, 0.1]",0.04,+,42,0.884104596271245,0.845703125
"[1, 0.14, 0.14, 0.1]",0.04,+,43,0.8845247608769082,0.8465820550918579
"[1, 0.14, 0.14, 0.1]",0.04,+,44,0.8849366869608918,0.8487304449081421
"[1, 0.14, 0.14, 0.1]",0.04,+,45,0.8853238974798362,0.8514648675918579
"[1, 0.14, 0.14, 0.1]",0.04,+,46,0.8857317043029799,0.8555663824081421
"[1, 0.14, 0.14, 0.1]",0.04,+,47,0.8861683459520023,0.855175793170929
"[1, 0.14, 0.14, 0.1]",0.04,+,48,0.8865473179492672,0.854785144329071
"[1, 0.14, 0.14, 0.1]",0.04,+,49,0.886951005511571,0.8544921875
"[1, 0.14, 0.14, 0.1]",0.04,+,50,0.8873258582479959,0.8558593988418579
"[1, 0.14, 0.14, 0.1]",0.04,+,51,0.8877089495061006,0.8548828363418579
"[1, 0.14, 0.14, 0.1]",0.04,+,52,0.8880261325907679,0.854687511920929
"[1, 0.14, 0.14, 0.1]",0.04,+,53,0.8883268386320758,0.8514648675918579
"[1, 0.14, 0.14, 0.1]",0.04,+,54,0.8886522602384228,0.85498046875
"[1, 0.14, 0.14, 0.1]",0.04,+,55,0.8890353514965275,0.8575195074081421
"[1, 0.14, 0.14, 0.1]",0.04,+,56,0.8893236997553159,0.8563476800918579
"[1, 0.14, 0.14, 0.1]",0.04,+,57,0.8897273873176197,0.855664074420929
"[1, 0.14, 0.14, 0.1]",0.04,+,58,0.8900569281848065,0.857421875
"[1, 0.14, 0.14, 0.1]",0.04,+,59,0.890493569833829,0.8597656488418579
"[1, 0.14, 0.14, 0.1]",0.04,+,60,0.8907901566142972,0.858593761920929
"[1, 0.14, 0.14, 0.1]",0.04,+,61,0.8911279360031636,0.859570324420929
"[1, 0.14, 0.14, 0.1]",0.04,+,62,0.8914739539137098,0.8623046875
"[1, 0.14, 0.14, 0.1]",0.04,+,63,0.8917828984766973,0.8597656488418579
"[1, 0.14, 0.14, 0.1]",0.04,+,64,0.8921042008222044,0.861328125
"[1, 0.14, 0.14, 0.1]",0.04,+,65,0.8924337416893913,0.8548828363418579
"[1, 0.14, 0.14, 0.1]",0.04,+,66,0.8927262092090196,0.8633788824081421
